timestamp,x_data,x_gyro,y_data,y_gyro,z_data,z_gyro,temp,battery_voltage
2600,1,2,3,4,5,6,7,4100
2620,1,2,3,4,5,6,7,4100
2640,1,2,3,4,5,6,7,4100
2660,1,2,3,4,5,6,7,4100
2680,1,2,3,4,5,6,7,4100
2700,1,2,3,4,5,6,7,4100
2720,1,2,3,4,5,6,7,4100
2740,1,2,3,4,5,6,7,4100
2760,1,2,3,4,5,6,7,4100
2780,1,2,3,4,5,6,7,4100
2800,1,2,3,4,5,6,7,4100
2820,1,2,3,4,5,6,7,4100
2840,1,2,3,4,5,6,7,4100
2860,1,2,3,4,5,6,7,4100
2880,1,2,3,4,5,6,7,4100
2900,1,2,3,4,5,6,7,4100
2920,1,2,3,4,5,6,7,4100
2940,1,2,3,4,5,6,7,4100
2960,1,2,3,4,5,6,7,4100
2980,1,2,3,4,5,6,7,4100
3000,1,2,3,4,5,6,7,4100
3020,1,2,3,4,5,6,7,4100
3040,1,2,3,4,5,6,7,4100
3060,1,2,3,4,5,6,7,4100
3080,1,2,3,4,5,6,7,4100
3100,1,2,3,4,5,6,7,4100
3120,1,2,3,4,5,6,7,4100
3140,1,2,3,4,5,6,7,4100
3160,1,2,3,4,5,6,7,4100
3180,1,2,3,4,5,6,7,4100
3200,1,2,3,4,5,6,7,4100
3220,1,2,3,4,5,6,7,4100
3240,1,2,3,4,5,6,7,4100
3260,1,2,3,4,5,6,7,4100
3280,1,2,3,4,5,6,7,4100
3300,1,2,3,4,5,6,7,4100
3320,1,2,3,4,5,6,7,4100
3340,1,2,3,4,5,6,7,4100
3360,1,2,3,4,5,6,7,4100
3380,1,2,3,4,5,6,7,4100
3400,1,2,3,4,5,6,7,4100
3420,1,2,3,4,5,6,7,4100
3440,1,2,3,4,5,6,7,4100
3460,1,2,3,4,5,6,7,4100
3480,1,2,3,4,5,6,7,4100
3500,1,2,3,4,5,6,7,4100
3520,1,2,3,4,5,6,7,4100
3540,1,2,3,4,5,6,7,4100
3560,1,2,3,4,5,6,7,4100
3580,1,2,3,4,5,6,7,4100
3600,1,2,3,4,5,6,7,4100
3620,1,2,3,4,5,6,7,4100
3640,1,2,3,4,5,6,7,4100
3660,1,2,3,4,5,6,7,4100
3680,1,2,3,4,5,6,7,4100
3700,1,2,3,4,5,6,7,4100
3720,1,2,3,4,5,6,7,4100
3740,1,2,3,4,5,6,7,4100
3760,1,2,3,4,5,6,7,4100
3780,1,2,3,4,5,6,7,4100
3800,1,2,3,4,5,6,7,4100
3820,1,2,3,4,5,6,7,4100
3840,1,2,3,4,5,6,7,4100
3860,1,2,3,4,5,6,7,4100
3880,1,2,3,4,5,6,7,4100
3900,1,2,3,4,5,6,7,4100
3920,1,2,3,4,5,6,7,4100
3940,1,2,3,4,5,6,7,4100
3960,1,2,3,4,5,6,7,4100
3980,1,2,3,4,5,6,7,4100
4000,1,2,3,4,5,6,7,4100
4020,1,2,3,4,5,6,7,4100
4040,1,2,3,4,5,6,7,4100
4060,1,2,3,4,5,6,7,4100
4080,1,2,3,4,5,6,7,4100
4100,1,2,3,4,5,6,7,4100
4120,1,2,3,4,5,6,7,4100
4140,1,2,3,4,5,6,7,4100
4160,1,2,3,4,5,6,7,4100
4180,1,2,3,4,5,6,7,4100
4200,1,2,3,4,5,6,7,4100
4220,1,2,3,4,5,6,7,4100
4240,1,2,3,4,5,6,7,4100
4260,1,2,3,4,5,6,7,4100
4280,1,2,3,4,5,6,7,4100
4300,1,2,3,4,5,6,7,4100
4320,1,2,3,4,5,6,7,4100
4340,1,2,3,4,5,6,7,4100
4360,1,2,3,4,5,6,7,4100
4380,1,2,3,4,5,6,7,4100
4400,1,2,3,4,5,6,7,4100
4420,1,2,3,4,5,6,7,4100
4440,1,2,3,4,5,6,7,4100
4460,1,2,3,4,5,6,7,4100
4480,1,2,3,4,5,6,7,4100
4500,1,2,3,4,5,6,7,4100
4520,1,2,3,4,5,6,7,4100
4540,1,2,3,4,5,6,7,4100
4560,1,2,3,4,5,6,7,4100
4580,1,2,3,4,5,6,7,4100
4600,1,2,3,4,5,6,7,4100
4620,1,2,3,4,5,6,7,4100
4640,1,2,3,4,5,6,7,4100
4660,1,2,3,4,5,6,7,4100
4680,1,2,3,4,5,6,7,4100
4700,1,2,3,4,5,6,7,4100
4720,1,2,3,4,5,6,7,4100
4740,1,2,3,4,5,6,7,4100
4760,1,2,3,4,5,6,7,4100
4780,1,2,3,4,5,6,7,4100
4800,1,2,3,4,5,6,7,4100
4820,1,2,3,4,5,6,7,4100
4840,1,2,3,4,5,6,7,4100
4860,1,2,3,4,5,6,7,4100
4880,1,2,3,4,5,6,7,4100
4900,1,2,3,4,5,6,7,4100
4920,1,2,3,4,5,6,7,4100
4940,1,2,3,4,5,6,7,4100
4960,1,2,3,4,5,6,7,4100
4980,1,2,3,4,5,6,7,4100
5000,1,2,3,4,5,6,7,4100
5020,1,2,3,4,5,6,7,4100
5040,1,2,3,4,5,6,7,4100
5060,1,2,3,4,5,6,7,4100
5080,1,2,3,4,5,6,7,4100
5100,1,2,3,4,5,6,7,4100
5120,1,2,3,4,5,6,7,4100
5140,1,2,3,4,5,6,7,4100
5160,1,2,3,4,5,6,7,4100
5180,1,2,3,4,5,6,7,4100
5200,1,2,3,4,5,6,7,4100
5220,1,2,3,4,5,6,7,4100
5240,1,2,3,4,5,6,7,4100
5260,1,2,3,4,5,6,7,4100
5280,1,2,3,4,5,6,7,4100
5300,1,2,3,4,5,6,7,4100
5320,1,2,3,4,5,6,7,4100
5340,1,2,3,4,5,6,7,4100
5360,1,2,3,4,5,6,7,4100
5380,1,2,3,4,5,6,7,4100
5400,1,2,3,4,5,6,7,4100
5420,1,2,3,4,5,6,7,4100
5440,1,2,3,4,5,6,7,4100
5460,1,2,3,4,5,6,7,4100
5480,1,2,3,4,5,6,7,4100
5500,1,2,3,4,5,6,7,4100
5520,1,2,3,4,5,6,7,4100
5540,1,2,3,4,5,6,7,4100
5560,1,2,3,4,5,6,7,4100
5580,1,2,3,4,5,6,7,4100
5600,1,2,3,4,5,6,7,4100
5620,1,2,3,4,5,6,7,4100
5640,1,2,3,4,5,6,7,4100
5660,1,2,3,4,5,6,7,4100
5680,1,2,3,4,5,6,7,4100
5700,1,2,3,4,5,6,7,4100
5720,1,2,3,4,5,6,7,4100
5740,1,2,3,4,5,6,7,4100
5760,1,2,3,4,5,6,7,4100
5780,1,2,3,4,5,6,7,4100
5800,1,2,3,4,5,6,7,4100
5820,1,2,3,4,5,6,7,4100
5840,1,2,3,4,5,6,7,4100
5860,1,2,3,4,5,6,7,4100
5880,1,2,3,4,5,6,7,4100
5900,1,2,3,4,5,6,7,4100
5920,1,2,3,4,5,6,7,4100
5940,1,2,3,4,5,6,7,4100
5960,1,2,3,4,5,6,7,4100
5980,1,2,3,4,5,6,7,4100
6000,1,2,3,4,5,6,7,4100
6020,1,2,3,4,5,6,7,4100
